trans_id,prod_upc,cust_id,trans_timestamp,trans_year,trans_month,trans_day,trans_hour,trans_quantity,cust_age,cust_state,prod_price,prod_title,prod_category,prod_animal_type,total_sales
10300097,7.19638E+11,1001019,35:21.4,2021,1,1,1,1,20,New York,72.99,Cat Cave,bedding,cat,72.99
10300093,73201504044,1001015,33:37.5,2021,1,1,1,1,34,New York,18.95,Purrfect Puree,treat,cat,18.95
10300093,7.19638E+11,1001015,33:37.5,2021,1,1,1,1,34,New York,72.99,Cat Cave,bedding,cat,72.99
10300093,4.41531E+11,1001015,33:37.5,2021,1,1,1,2,34,New York,28.45,Ball and String,toy,cat,56.9
10300093,7.33427E+11,1001015,33:37.5,2021,1,1,1,1,34,New York,18.95,Yum Fish-Dish,food,cat,18.95
10300091,3.44934E+11,1001012,08:32.2,2021,1,1,1,1,26,New Jersey,24.95,Fetch Blaster,toy,dog,24.95
10300096,7.17036E+11,1001018,43:40.4,2021,1,1,1,1,26,Pennsylvania,60.99,Reddy Beddy,bedding,dog,60.99
10300103,2.42314E+11,1001025,05:32.2,2021,1,1,1,1,24,New Jersey,65.99,Reddy Beddy,bedding,dog,65.99
10300100,1.00469E+11,1001022,39:46.7,2021,1,1,1,1,27,New York,18.95,Tuna Tasties,treat,cat,18.95
10300102,2.87664E+11,1001024,44:27.5,2021,1,1,1,1,35,Connecticut,9.95,All Veggie Yummies,treat,dog,9.95
10300101,4.41531E+11,1001023,14:47.1,2021,1,1,1,1,29,Connecticut,28.45,Ball and String,toy,cat,28.45
10300101,2.87664E+11,1001023,14:47.1,2021,1,1,1,1,29,Connecticut,9.95,All Veggie Yummies,treat,dog,9.95
10300098,2.42314E+11,1001020,21:14.5,2021,1,1,1,2,28,Pennsylvania,65.99,Reddy Beddy,bedding,dog,131.98
10300094,3.74613E+11,1001016,40:29.2,2021,1,1,1,1,29,New York,10.97,Chewie Dental,treat,dog,10.97
10300099,8.32879E+11,1001021,52:02.4,2021,1,1,1,1,19,Pennsylvania,45.99,Snoozer Hammock,bedding,cat,45.99
10300092,4.69757E+11,1001014,10:33.5,2021,1,1,1,1,32,New Jersey,35.99,Kitty Climber,toy,cat,35.99
10300095,73201504044,1001017,32:28.9,2021,1,1,1,1,31,Connecticut,18.95,Purrfect Puree,treat,cat,18.95
10300107,3.74613E+11,1001028,58:22.1,2021,1,2,2,1,21,Connecticut,10.97,Chewie Dental,treat,dog,10.97
10300113,1.00469E+11,1001034,14:35.0,2021,1,2,2,1,29,Pennsylvania,18.95,Tuna Tasties,treat,cat,18.95
10300113,4.69757E+11,1001034,14:35.0,2021,1,2,2,3,29,Pennsylvania,35.99,Kitty Climber,toy,cat,107.97
10300110,9.69569E+11,1001031,13:26.3,2021,1,2,2,1,21,New York,32.99,Foozy Mouse,toy,cat,32.99
10300110,5.21244E+11,1001031,13:26.3,2021,1,2,2,2,21,New York,54.95,Reddy Beddy,bedding,dog,109.9
10300104,3.44539E+11,1001026,42:56.2,2021,1,2,2,2,35,Pennsylvania,19.99,Feline Fix Mix,treat,cat,39.98
10300111,8.32879E+11,1001032,45:17.2,2021,1,2,2,1,27,Pennsylvania,45.99,Snoozer Hammock,bedding,cat,45.99
10300114,8.45773E+11,1001035,39:27.2,2021,1,2,2,1,35,New York,12.99,Purr Mix,food,cat,12.99
10300114,7.33427E+11,1001035,39:27.2,2021,1,2,2,2,35,New York,18.95,Yum Fish-Dish,food,cat,37.9
